s[T,D,AA->AB,1(10),83,1,16,25383,25497]
s[R,A,AB->AA,0(9),83,0,0,0,25578]
s[T,D,AA->AB,1(10),84,4,16,25594,25711]
s[R,A,AB->AA,0(9),84,0,0,0,25792]
s[T,D,AA->AB,1(10),85,8,16,25806,25927]
s[R,A,AB->AA,0(9),85,0,0,0,26008]
s[T,D,AA->AB,1(10),86,10,16,26022,26145]
s[R,A,AB->AA,0(9),86,0,0,0,26226]
s[T,D,AA->AB,1(10),87,6,16,26242,26361]
s[R,A,AB->AA,0(9),87,0,0,0,26442]
s[T,D,AA->AB,1(10),88,15,16,26456,26584]
s[R,A,AB->AA,0(9),88,0,0,0,26665]
s[T,D,AA->AB,1(10),89,5,16,26681,26799]
s[R,A,AB->AA,0(9),89,0,0,0,26880]
s[T,D,AA->AB,1(10),90,6,16,26893,27012]
s[R,A,AB->AA,0(9),90,0,0,0,27093]
s[T,D,AA->AB,1(10),91,8,16,27109,27230]
s[R,A,AB->AA,0(9),91,0,0,0,27311]
s[T,D,AA->AB,1(10),92,4,16,27325,27442]
s[R,A,AB->AA,0(9),92,0,0,0,27523]
s[T,D,AA->AB,1(10),93,5,16,27536,27654]
s[R,A,AB->AA,0(9),93,0,0,0,27735]
s[T,D,AA->AB,1(10),94,5,16,27752,27870]
s[R,A,AB->AA,0(9),94,0,0,0,27951]
s[T,D,AA->AB,1(10),95,8,16,27968,28089]
s[R,A,AB->AA,0(9),95,0,0,0,28170]
s[T,D,AA->AB,1(10),96,15,16,28183,28312]
s[R,A,AB->AA,0(9),96,0,0,0,28393]
s[T,D,AA->AB,1(10),97,7,16,28407,28527]
s[R,A,AB->AA,0(9),97,0,0,0,28608]
s[T,D,AA->AB,1(10),98,14,16,28623,28750]
s[R,A,AB->AA,0(9),98,0,0,0,28831]
s[T,D,AA->AB,1(10),99,8,16,28847,28968]
s[R,A,AB->AA,0(9),99,0,0,0,29049]
s[T,D,AA->AB,1(10),100,0,16,29063,29176]
s[R,A,AB->AA,0(9),100,0,0,0,29257]
s[T,D,AA->AB,1(10),101,4,16,29269,29386]
s[R,A,AB->AA,0(9),101,0,0,0,29467]
s[T,D,AA->AB,1(10),102,13,16,29482,29608]
s[R,A,AB->AA,0(9),102,0,0,0,29689]
s[T,D,AA->AB,1(10),103,15,16,29706,29834]
s[R,A,AB->AA,0(9),103,0,0,0,29915]
s[T,D,AA->AB,1(10),104,6,16,29930,30049]
s[R,A,AB->AA,0(9),104,0,0,0,30130]
s[T,D,AA->AB,1(10),105,6,16,30145,30264]
s[R,A,AB->AA,0(9),105,0,0,0,30345]
s[T,D,AA->AB,1(10),106,7,16,30361,30481]
